rank_by_qubo_score,selected_leds,bitstring,qubo_score,qubo_energy,qaoa_qubo_energy,num_selected_leds,power_consumption_ratio,qaoa_count,qaoa_probability,coverage_rate,power_uniformity,snr_uniformity,snr_threshold_db,mean_snr_db,min_snr_db,max_snr_db,mean_received_power,min_received_power,max_received_power
1,1-4-6-13-16,b_1001010000001001,0.7386432994706178,-0.7386432994706178,-0.7386432994706178,5,0.3125,14,0.001708984375,1.0,0.2086802242516368,0.059592350091376776,13.6,28.186754163652793,15.938659290193286,32.195185697334516,7.93854895615551e-06,1.656618176403129e-06,1.8433277489088732e-05
2,1-4-7-13-16,b_1001001000001001,0.7386432994706178,-0.7386432994706178,-0.7386432994706178,5,0.3125,10,0.001220703125,1.0,0.2086802242516368,0.059592350091376776,13.6,28.186754163652793,15.938659290193286,32.195185697334516,7.93854895615551e-06,1.656618176403129e-06,1.8433277489088732e-05
3,1-4-10-13-16,b_1001000001001001,0.7386432994706178,-0.7386432994706178,-0.7386432994706178,5,0.3125,8,0.0009765625,1.0,0.2086802242516368,0.059592350091376776,13.6,28.186754163652793,15.938659290193286,32.195185697334516,7.93854895615551e-06,1.656618176403129e-06,1.8433277489088732e-05
4,1-4-11-13-16,b_1001000000101001,0.7386432994706178,-0.7386432994706178,-0.7386432994706178,5,0.3125,7,0.0008544921875,1.0,0.2086802242516368,0.05959235009137679,13.6,28.18675416365279,15.938659290193286,32.195185697334516,7.93854895615551e-06,1.656618176403129e-06,1.8433277489088735e-05
5,1-3-8-13-16,b_1010000100001001,0.7100603145544478,-0.7100603145544478,-0.7100603145544478,5,0.3125,8,0.0009765625,0.9932,0.0,0.0,13.6,28.193156775387674,-300.0,32.22862452989777,7.928587767406351e-06,0.0,1.8647164203159112e-05
6,1-4-9-14-16,b_1001000010000101,0.7100603145544478,-0.7100603145544478,-0.7100603145544478,5,0.3125,2,0.000244140625,0.9932,0.0,0.0,13.6,28.193156775387674,-300.0,32.22862452989777,7.928587767406351e-06,0.0,1.864716420315911e-05
7,1-4-12-13-15,b_1001000000011010,0.7100603145544477,-0.7100603145544477,-0.7100603145544477,5,0.3125,6,0.000732421875,0.9932,0.0,0.0,13.6,28.193156775387674,-300.0,32.22862452989777,7.92858776740635e-06,0.0,1.864716420315911e-05
8,2-4-5-13-16,b_0101100000001001,0.7100603145544477,-0.7100603145544477,-0.7100603145544477,5,0.3125,6,0.000732421875,0.9932,0.0,0.0,13.6,28.193156775387674,-300.0,32.22862452989777,7.92858776740635e-06,0.0,1.8647164203159112e-05
9,1-3-12-13-15,b_1010000000011010,0.7064658872020119,-0.7064658872020119,-0.7064658872020119,5,0.3125,4,0.00048828125,0.9776,0.0,0.0,13.6,28.32641979486698,-300.0,32.22862452989777,8.062601725929983e-06,0.0,1.864716420315911e-05
10,1-4-9-12-14,b_1001000010010100,0.7064658872020118,-0.7064658872020118,-0.7064658872020118,5,0.3125,6,0.000732421875,0.9776,0.0,0.0,13.6,28.32641979486698,-300.0,32.22862452989777,8.062601725929983e-06,0.0,1.864716420315911e-05
11,1-4-9-12-15,b_1001000010010010,0.7064658872020118,-0.7064658872020118,-0.7064658872020118,5,0.3125,5,0.0006103515625,0.9776,0.0,0.0,13.6,28.32641979486698,-300.0,32.22862452989777,8.062601725929983e-06,0.0,1.864716420315911e-05
12,1-3-8-13-15,b_1010000100001010,0.7064658872020118,-0.7064658872020118,-0.7064658872020118,5,0.3125,3,0.0003662109375,0.9776,0.0,0.0,13.6,28.32641979486698,-300.0,32.22862452989777,8.062601725929983e-06,0.0,1.864716420315911e-05
13,2-5-8-13-16,b_0100100100001001,0.7064658872020118,-0.7064658872020118,-0.7064658872020118,5,0.3125,4,0.00048828125,0.9776,0.0,0.0,13.6,28.32641979486698,-300.0,32.22862452989777,8.062601725929983e-06,0.0,1.8647164203159112e-05
14,3-5-8-13-16,b_0010100100001001,0.7064658872020118,-0.7064658872020118,-0.7064658872020118,5,0.3125,5,0.0006103515625,0.9776,0.0,0.0,13.6,28.32641979486698,-300.0,32.22862452989777,8.062601725929983e-06,0.0,1.8647164203159112e-05
